id,num_cards,credit_limit,utilization_ratio,max_utilization_ratio,late_payments
1,3,139701,0.3429983250715352,0.8443115613576959,2
2,2,106632,0.7651515352150475,0.8639895613200346,5
3,3,274125,0.3594921456006566,0.2683057557618108,1
4,4,134213,0.4607114118519532,0.2631225191993801,11
5,1,86375,0.909796809644328,0.8199979387480663,0
6,2,67240,0.9854108344951998,0.3861234039240389,8
7,4,68010,0.769342372843763,0.6752223251409484,6
8,4,29212,0.27811949643703837,0.6870754075063239,0
9,4,214499,0.2809888066182424,0.7038492419422477,7
10,2,274836,0.33905264713323574,0.47030001019163303,0
11,3,51286,0.20252746412377148,0.2319205359361628,0
12,3,156587,0.2198909031942891,0.629985448201676,5
13,4,278836,0.2931901376755343,0.6120068694488909,9
14,4,64505,0.6768919654462953,0.5465127064682886,8
15,1,142525,0.6318457991727295,0.42362972190669546,10
16,2,117246,0.373856652453232,0.8744348596677816,10
17,1,169314,0.2368341496991932,0.49607705596967916,2
18,2,66830,0.6428208053753458,0.3014393678248717,1
19,4,259929,0.17432985565315665,0.8064960177768274,9
20,2,149959,0.18893403848900192,0.7090232395508487,10
21,4,178809,0.41419843708639625,0.44732260114222283,10
22,4,173283,0.5890016328851647,0.3209126465932897,0
23,3,117781,0.7418743438566482,0.5517330812885939,5
24,4,144094,0.7026312849067222,0.25274798521981795,4
25,4,29543,0.40952926822750535,0.37820709716942613,9
26,4,218669,0.6719197248501184,0.9711720103864936,6
27,3,14160,0.25077949872287875,0.3203961431239547,4
28,2,293441,0.5190577314243067,0.41998404542192075,5
29,2,229534,0.6345140508055284,0.31117623728000265,1
30,2,256585,0.7571855677076128,0.9296014003225375,0
31,4,63966,0.12560970818978034,0.9398688480007571,5
32,1,191242,0.14608420833154034,0.24757624743058226,1
33,2,128086,0.12015987644200501,0.9185777343451438,2
34,3,262205,0.569145575738707,0.3138583681876253,11
35,2,108650,0.5915519530243083,0.5178336810517676,0
36,4,229684,0.06046461932616071,0.6690356669000002,7
37,3,58229,0.6738658434388316,0.5699296602729893,6
38,4,199734,0.7751582867168437,0.3087360349156815,9
39,1,70731,0.16077947570807893,0.8332640080320319,7
40,1,221496,0.37046076186661664,0.7499327772293125,4
41,1,13631,0.8574735221907758,0.9529617828732575,5
42,1,24761,0.7028400697524784,0.48235796237297657,2
43,2,65426,0.3394115487525092,0.5443152439619765,6
44,3,194509,0.7551307244408257,0.4798011895843381,3
45,4,231861,0.8929041588875435,0.2503910663343775,1
46,4,225989,0.34385405360794385,0.24397571620257505,6
47,4,280932,0.7000695122412026,0.8090615225912827,5
48,3,85800,0.1387484653528542,0.4278868620990701,0
49,1,170961,0.10574875350280083,0.5897040205237645,8
50,3,115507,0.6069444547065921,0.9831761393082561,10
51,1,181840,0.5178028341357678,0.214126049641685,8
52,3,152507,0.8195838684789865,0.6141236643588042,9
53,1,42233,0.7912690974810763,0.6145783530065372,2
54,3,201319,0.32236083363651497,0.9988396103012229,11
55,2,39129,0.536649286419237,0.8674645185798313,9
56,2,39218,0.7679877276659487,0.2534414210980619,0
57,2,177867,0.30740509929782495,0.32568657627972275,11
58,2,199781,0.393863273353923,0.22712725170191278,6
59,1,83697,0.10687030648672724,0.3574675861171671,3
60,3,27887,0.1739641652151351,0.36986541837682907,2
61,3,38815,0.6297093352258802,0.27190974782677585,7
62,4,93421,0.5219136516920937,0.6217783861247215,8
63,4,264115,0.2101611251312419,0.9800092130756382,7
64,2,164042,0.05691714251591201,0.8430594634641373,3
65,4,213486,0.21058148283087297,0.3626986964749417,6
66,2,269031,0.762157956922914,0.8263981285776394,11
67,4,23997,0.13899819259024454,0.9857956393298746,1
68,2,74483,0.4323268999882668,0.8681848812621535,10
69,3,294620,0.2768495775756322,0.5749414089976665,0
70,1,63011,0.5719268248761681,0.41546857001413795,0
71,2,236504,0.535974718074596,0.7983127839708939,9
72,4,59941,0.9838058616843781,0.8291604865818774,4
73,4,157014,0.7842360707459247,0.43747063172148914,8
74,4,139911,0.9414130868646237,0.37934616161777523,3
75,2,287835,0.5990603566225958,0.7376850016849894,3
76,3,274870,0.750892296548962,0.9107439560885653,6
77,1,230495,0.9003227454761105,0.21656994157481899,9
78,4,157976,0.08901745058587987,0.9896726634526389,0
79,4,47850,0.9196776683178065,0.3534808297650285,1
80,2,77734,0.25118178850185097,0.47953485080295616,6
81,1,174322,0.7197652999016624,0.24234339837134106,9
82,2,98524,0.7846738506411223,0.24443175462129618,7
83,3,203337,0.1538597002479553,0.4182017071369269,2
84,1,129850,0.9554449131380618,0.6520150628836665,8
85,3,264081,0.9302312080374376,0.9208662320629188,0
86,2,40492,0.6718251413703454,0.25587694469171796,1
87,3,297660,0.19756268592688292,0.6367198702506461,1
88,2,223432,0.5877480325282234,0.5329072388349678,7
89,4,53669,0.37693760059847686,0.9914118090775406,3
90,4,218852,0.9342261190188376,0.34968516861935317,2
91,4,63562,0.4363229563405166,0.49561213119553726,7
92,2,16766,0.7090618854823731,0.22676677478624693,9
93,2,106901,0.65516434766732,0.9313915579371406,0
